9/17 01:16:54.800  ---- Startup ----
9/17 01:17:06.469  ---- ClientAvailableHotfixes ----
9/17 01:17:06.469  ---- UserClientHotfixRequest ----
9/17 01:17:06.469  ---- ApplyingHotfixes from Cache ----
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1533 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1534 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1535 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1536 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1537 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1538 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1539 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1540 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1541 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70074 Table LoadingScreenTaxiSplines RecID 1542 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table Spell RecID 48072 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellName RecID 48072 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellCraftUI RecID 48072 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table Spell RecID 48110 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellName RecID 48110 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellCraftUI RecID 48110 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table Spell RecID 48162 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellName RecID 48162 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellCraftUI RecID 48162 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table Spell RecID 48170 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellName RecID 48170 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70120 Table SpellCraftUI RecID 48170 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table Creature RecID 12778 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table Creature RecID 32382 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table Creature RecID 32383 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table Creature RecID 32385 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table Creature RecID 32832 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table CreatureDisplayInfo RecID 22602 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table TransmogHoliday RecID 28381 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table ItemSparse RecID 28381 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table Item RecID 28381 VALIDATION_RESULT_VALID
