5/11 12:24:46.334  Connection Initialize
5/11 12:24:58.485  Glue Start Login
5/11 12:24:58.485  BattleNet Attempt Logon
5/11 12:24:58.915  BattleNet Front Connected
5/11 12:24:58.998  BattleNet Logon Queue Update
5/11 12:24:59.698  BattleNet Logon Complete
5/11 12:25:00.098  BattleNet Game Account Name
5/11 12:25:00.098  BattleNet Game Account Name
5/11 12:25:00.098  BattleNet Attempt Complete Login
5/11 12:25:00.432  BattleNet Realm List Ticket
5/11 12:25:00.515  BattleNet Sub Region List
5/11 12:25:00.832  BattleNet Last Played Char
5/11 12:25:01.182  BattleNet Last Played Char
5/11 12:25:01.182  BattleNet Last Played Char
5/11 12:25:01.182  BattleNet Join Realm
5/11 12:25:01.332  BattleNet Realm Join
5/11 12:25:01.332  Change Connection
5/11 12:25:01.332  Connect
5/11 12:25:01.382  Handle Connect
5/11 12:25:02.982  Handle Auth Response: 0
5/11 12:25:02.982  Glue Authed To WoW: 0
5/11 12:25:03.158  BattleNet Connected To Realm
5/11 12:25:03.158  BattleNet Front Disconnecting
5/11 12:25:03.216  Handle Char Enum
5/11 12:25:03.366  BattleNet Front Disconnected
5/11 12:26:45.825  Handle Character Create: 24
5/11 12:26:46.075  Handle Char Enum
5/11 12:30:07.222  Handle Logout Response: 0
5/11 12:30:08.557  Disconnect: 13
5/11 12:30:08.559  Connection Destroy
