5/11 12:24:47.240  ---- Startup ----
5/11 12:25:03.158  ---- ClientAvailableHotfixes ----
5/11 12:25:03.158  ---- UserClientHotfixRequest ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Cache ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Server ----
5/11 12:25:03.274  	63269 Table GlobalStrings RecID 36372 valid
5/11 12:25:03.274  	63280 Table Spell RecID 33003 invalid
5/11 12:25:03.274  	63280 Table SpellName RecID 33003 invalid
5/11 12:25:03.274  	63280 Table SpellCraftUI RecID 33003 valid
5/11 12:25:03.274  	63280 Table SpellAuraOptions RecID 172338 invalid
5/11 12:25:03.274  	63280 Table SpellEffect RecID 851197 invalid
5/11 12:25:03.274  	63280 Table SpellEquippedItems RecID 214463 invalid
5/11 12:25:03.274  	63280 Table SpellMisc RecID 449939 invalid
5/11 12:25:03.274  	63280 Table SpellPower RecID 219652 invalid
5/11 12:25:03.274  	63280 Table SpellPowerDifficulty RecID 219652 invalid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 11622 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 11659 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 11702 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 11743 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 11803 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 11804 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16452 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16453 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16454 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16455 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16456 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16458 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16461 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16462 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16466 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16471 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16475 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16476 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16477 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16488 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16489 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16491 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16494 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16495 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16496 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16497 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16498 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16505 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16508 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16509 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16510 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16521 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16522 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16523 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16525 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16530 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16531 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16533 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16535 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16536 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16538 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16539 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16540 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16541 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16542 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16545 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16546 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16549 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16550 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16552 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16553 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16561 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16562 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16563 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16564 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16565 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16566 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16568 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16569 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16570 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16571 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16572 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16574 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16575 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16581 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16582 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16583 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16584 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16587 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16588 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16589 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16592 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16593 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16600 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16603 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16605 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16606 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16607 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16608 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16609 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16610 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16611 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16612 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16615 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16618 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16619 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16620 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16621 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16622 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16623 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16624 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16625 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16626 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16627 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16629 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16630 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16631 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16633 valid
