4/2 03:39:18.182  Connection Initialize
4/2 03:39:25.093  Glue Start Login
4/2 03:39:25.093  BattleNet Attempt Logon
4/2 03:39:25.403  BattleNet Front Connected
4/2 03:39:25.524  BattleNet Logon Queue Update
4/2 03:39:25.778  BattleNet Logon Complete
4/2 03:39:25.853  BattleNet Game Account Name
4/2 03:39:25.916  BattleNet Game Account Name
4/2 03:39:25.916  BattleNet Attempt Complete Login
4/2 03:39:26.261  BattleNet Realm List Ticket
4/2 03:39:26.352  BattleNet Sub Region List
4/2 03:39:26.677  BattleNet Last Played Char
4/2 03:39:26.745  BattleNet Last Played Char
4/2 03:39:26.809  BattleNet Last Played Char
4/2 03:39:27.005  BattleNet Last Played Char
4/2 03:39:27.062  BattleNet Last Played Char
4/2 03:39:27.062  BattleNet Join Realm
4/2 03:39:27.257  BattleNet Realm Join
4/2 03:39:27.257  Change Connection
4/2 03:39:27.257  Connect
4/2 03:39:27.299  Handle Connect
4/2 03:39:28.710  Handle Auth Response: 0
4/2 03:39:28.710  Glue Authed To WoW: 0
4/2 03:39:29.068  BattleNet Connected To Realm
4/2 03:39:29.068  BattleNet Front Disconnecting
4/2 03:39:29.154  BattleNet Front Disconnected
4/2 03:39:29.495  Handle Char Enum
4/2 03:43:27.178  Handle Char Enum
4/2 03:55:57.998  Handle Logout Response: 0
4/2 03:55:58.297  Handle Logout Complete
4/2 03:56:04.122  Disconnect: 13
4/2 03:56:04.122  Connection Destroy
