Date;Time;Severity;TID;This;Function;Message
2018/07/17;21:45:01.305;DEBUG;23288;0000000000000000;InitLog@98;"InitLog"
2018/07/17;21:45:01.306;DEBUG;23288;0000000000000000;DllMain@578;"DLL is attach to process"
2018/07/17;21:45:01.306;DEBUG;23288;0000000000000000;GetCurrentProcInfo@158;"Current Process Name: Wow.exe"
2018/07/17;21:45:01.306;DEBUG;23288;0000000000000000;GetCurrentProcInfo@166;"Current Process ID: 22828"
2018/07/17;21:45:01.306;DEBUG;23288;0000000000000000;InitEvents@561;"Init events: CAMOverlayStarted22828"
2018/07/17;21:45:01.407;DEBUG;16628;0000000000000000;InitHook@437;"Init hook"
2018/07/17;21:45:01.407;DEBUG;16628;0000000000000000;InitNamedPipes@428;"Named pipe initialized: "
2018/07/17;21:45:01.408;DEBUG;16628;0000000000000000;HookD3D9@261;"Hooked D3D9"
2018/07/17;21:45:01.408;DEBUG;16628;0000000000000000;TryHook@486;"DirectX 9 is hooked"
2018/07/17;21:45:01.415;DEBUG;16628;0000000000000000;HookDXGI@225;"Hooked DXGI"
2018/07/17;21:45:01.415;DEBUG;16628;0000000000000000;TryHook@500;"DXGI(D10, D11, D12) is hooked"
2018/07/17;21:45:01.418;DEBUG;23288;0000000000000000;GetDirectXVersion@42;"Using DirectX 11"
2018/07/17;21:45:01.418;DEBUG;23288;0000000000000000;DisplayOverlayD11@221;"Get RWstate succeed"
2018/07/17;21:45:01.418;DEBUG;23288;0000000000000000;DisplayOverlayD11@235;"Get RSstate succeed"
2018/07/17;21:45:01.483;DEBUG;23288;0000000000000000;DisplayOverlayD11@252;"Get buffer succeeded"
2018/07/17;21:45:01.483;DEBUG;23288;0000000000000000;DisplayOverlayD11@257;"DisplayOverlay_D3D11 - First time"
2018/07/17;21:50:04.555;DEBUG;23288;0000000000000000;DllMain@627;"DLL is detached from process"
2018/07/17;21:50:11.326;DEBUG;7652;0000000000000000;InitLog@98;"InitLog"
2018/07/17;21:50:11.326;DEBUG;7652;0000000000000000;DllMain@578;"DLL is attach to process"
2018/07/17;21:50:11.326;DEBUG;7652;0000000000000000;GetCurrentProcInfo@158;"Current Process Name: Wow.exe"
2018/07/17;21:50:11.326;DEBUG;7652;0000000000000000;GetCurrentProcInfo@166;"Current Process ID: 18836"
2018/07/17;21:50:11.326;DEBUG;7652;0000000000000000;InitEvents@561;"Init events: CAMOverlayStarted18836"
2018/07/17;21:50:11.427;DEBUG;5612;0000000000000000;InitHook@437;"Init hook"
2018/07/17;21:50:11.427;DEBUG;5612;0000000000000000;InitNamedPipes@428;"Named pipe initialized: "
2018/07/17;21:50:11.427;DEBUG;5612;0000000000000000;HookD3D9@261;"Hooked D3D9"
2018/07/17;21:50:11.427;DEBUG;5612;0000000000000000;TryHook@486;"DirectX 9 is hooked"
2018/07/17;21:50:11.435;DEBUG;5612;0000000000000000;HookDXGI@225;"Hooked DXGI"
2018/07/17;21:50:11.435;DEBUG;5612;0000000000000000;TryHook@500;"DXGI(D10, D11, D12) is hooked"
2018/07/17;21:50:11.436;DEBUG;7652;0000000000000000;GetDirectXVersion@42;"Using DirectX 11"
2018/07/17;21:50:11.436;DEBUG;7652;0000000000000000;DisplayOverlayD11@221;"Get RWstate succeed"
2018/07/17;21:50:11.436;DEBUG;7652;0000000000000000;DisplayOverlayD11@235;"Get RSstate succeed"
